RCR;ARK;geo;Services proposés;catalogue_url_ligne;nomrue;commune;codepostal;nometabaff;nometablissement;nomtutelle;Type d'établissement;Code type d'établissement;Heures d'ouverture;Fermeture annuelle;notecondaccess;noteaccessetab;Conditions d'accès;Code Conditions d'accès;Télécopie;Site web;Téléphone;Description des collections;Volumétrie
751165212;/06871/00211834;48.8622808, 2.2875596;consultation sur place,reproduction,renseignements bibliographiques,catalogue en ligne,accès bases de données externes,bibliothèque numérique;http://www.biblio-musees.defense.gouv.fr/exl-php/cadcgp.php?CMD=CHERCHE&MODELE=vues/page_accueil/tpl-q.html&query=1&TABLE=UNI_DOC&NOMFONDS=Cadic%20int%E9grale&NONVALID=;17 place du Trocadéro;Paris;75116;;Musée national de la marine. Bibliothèque;MUSEE NATIONAL DE LA MARINE (PARIS);Musée;8;Fermeture;;Adultes;;Accès réservé;R;01 53 65 69 42;http://www.musee-marine.fr/bibliotheque-de-paris;01 53 65 81 69;La bibliothèque du Musée national de la Marine à Paris constitue une bibliothèque de référence relative à l’histoire maritime et aux cinq marines (militaire, marchande, pêche, plaisance et scientifique), à la construction navale, à l’histoire et aux techniques de la navigation, à l’archéologie navale, à l’ethnographie et à l’art maritime.;"Les collections de la bibliothèque comptent 35 000 imprimés et recueils iconographiques, 350 manuscrits, 1 000 titres de périodiques, 7 000 plans de constructions de bateaux et 70 000 cartes postales. 
La bibliothèque met aussi à disposition des lecteurs des dossiers documentaires iconographiques thématiques."
751055236;/06871/00212579;48.8433499, 2.3448398;consultation sur place,renseignements bibliographiques,accès bases de données externes;;1, rue d'Ulm;Paris;75005;Université Paris 2 - Bibliothèque de l'Institut Michel Villey;Université Panthéon-Assas. Institut Michel Villey;UNIVERSITE PANTHEON-ASSAS (PARIS);Bibliothèque ou institut universitaire;2;9h-17 h (vendredi 9h-16h);Vacances universitaires;Réservé aux étudiants de M2 et de doctorat, enseignants, chercheurs (toutes universités);;Accès réservé;R;;http://institutvilley.com/Bibliotheque;01.44.41.89.92;;
914772301;/06871/0029034;48.712897, 2.210173;consultation sur place,prêt à domicile,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,élaboration de bibliographies,catalogue en ligne,accès bases de données externes,bibliothèque numérique;https://bibli-aleph.polytechnique.fr/;Route de Saclay;Palaiseau;91128;BCX;École polytechnique. Bibliothèque Centrale;ECOLE POLYTECHNIQUE (PALAISEAU, ESSONNE);Autres;12;Du lundi au vendredi de 8h30 à 21h, le samedi de 9h a 16h;Horaires restreints en periode de vacances scolaires;;;Tous publics;T;01.69.33.35.69;https://www.polytechnique.edu/bibliotheque;01.69.33.35.00;"Tous les domaines sont représentés, des sciences pures à la littérature et aux loisirs en passant par les langues, les sciences humaines et économiques.
La bibliothèque conserve les archives de l'établissement depuis 1794, ainsi que les collections muséographiques.
La bibliothèque présente également durant l'année des expositions scientifiques et culturelles.";"Les collections comportent environ 300 000 volumes, dont 2 230 titres de périodiques sur support papier.
Il y a 502 titres de périodiques vivants auxquels il faut ajouter l'accès à 5 251 périodiques en ligne."
774456201;/06871/0027422;48.6044749, 2.5523793;consultation sur place,prêt à domicile,reproduction,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,élaboration de bibliographies,catalogue en ligne,autre service;http://www.mediatheques-savigny-le-temple.fr/;Quartier de Plessis le Roi;Savigny-le-Temple;77176;;Bibliothèque-discothèque municipale Jacques-Prévert;;Bibliothèque médiathèque municipale ou intercommunale;1;"Lundi, vendredi : 14h-18h
Mardi : 14h-19h
Mercredi, samedi : 10h-12h30, 14h-18h";;;Horaires réduits en juillet et août;Tous publics;T;01.60.63.62.89;http://www.mediatheques-savigny-le-temple.fr/;01.60.63.23.18;Collection encyclopédique et multimédia de lecture publique;"38 000 documents :
35 000 livres
360 cédéroms
50 textes lus
74 revues dont 26 titres jeunesse"
751052304;;48.8425332, 2.3556934;consultation sur place,prêt à domicile,reproduction,prêt entre bibliothèques,renseignements bibliographiques,catalogue en ligne,accès bases de données externes,bibliothèque numérique,autre service;;38, rue Geoffroy-Saint-Hilaire;Paris;75005;MNHN;Muséum national d'histoire naturelle. Bibliothèque centrale;MUSEUM NATIONAL D'HISTOIRE NATURELLE (PARIS);Bibliothèque ou centre de documentation spécialisé;3;Lundi, Mercredi, Jeudi, Vendredi 9h-19h * Mardi 13h-19h * Samedi 10h-19h;"Les 2 premières semaines complètes du mois d'août ; les samedis en juillet et en août ; 1 semaine entre Noël et le jour de l'An";Tous publics, sur justification de recherche;;Tous publics;T;01.40.79.36.56 et 01.40.79.36.83 (PEB);http://bibliotheques.mnhn.fr;01.40.79.36.24 et 01 40 79 36 42 (PEB);"Les collections des bibliothèques du Muséum documentent toutes les étapes du cycle de la recherche naturaliste, depuis les premières notes et observations de terrain jusqu'à la diffusion des résultats scientifiques. Principalement à vocation scientifique, pédagogique et muséographique, ces collections embrassent tous les domaines des sciences et de l'histoire de la nature et de l'Homme.

Bibliothèque délégataire CollEx ""Sciences et histoire de la nature et de l'Homme : Botanique, Zoologie, Biologie animale et végétale, Préhistoire, Paléontologie, Ecologie, Biodiversité""";"*Livres et revues imprimés
*Ressources électroniques
*Cartes et plans
*Manuscrits, archives scientifiques et institutionnelles
*Documents iconographiques (dessins, estampes, photographies) dont 7000 aquarelles de la Collection des vélins
*Oeuvres d'art, instruments scientifiques et objets"
914712208;/06871/0028642;48.6991157, 2.1794676;prêt à domicile,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques;;15, rue Georges Clémenceau,;Orsay;91406;IPN;Institut de physique nucléaire. Service de documentation;"[""UNIVERSITE PARIS-SUD"", ""INSTITUT NATIONAL DE PHYSIQUE NUCLEAIRE ET DE PHYSIQUE DES PARTICULES (FRANCE)"", ""CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (FRANCE)""]";Bibliothèque ou institut universitaire;2;du lundi au vendredi de 8H45 a 17H30;Du 1er au 15 août et vacances universitaires à Noël;Au personnel et aux etudiants de l'Universite de Paris Sud et sur demande;;Accès réservé;R;01.69.15.64.70;http://ipnweb.in2p3.fr/;01.69.15.63.32;;
751115302;/06871/00213770;48.8653225, 2.3711359;consultation sur place,renseignements bibliographiques,bibliothèque numérique,autre service;;68, rue de la Folie Méricourt;Paris;75011;Centre national des arts du cirque, de la rue et du théâtre.;ARTCENA. Centre de documentation;;Bibliothèque ou centre de documentation spécialisé;3;Espaces d’accueil et de documentation ouverts du lundi au vendredi de 9h30 à 13h et de 14h à 18h;;Le centre de documentation est destiné à tous, professionnels, étudiants et chercheurs, journalistes, amateurs ou néophytes en quête d’information sur les arts de la rue et les arts du cirque.;;Tous publics;T;;http://www.artcena.fr/;01 55 28 10 10;"Le centre de documentation a pour mission de collecter et d’archiver les documents patrimoniaux et contemporains sur les arts de la rue et le cirque. 

Plus de 2 500 archives papiers (dossiers de presse et de créations de compagnies, programmes de festivals, documents de communication de lieux.
 
Bibliothèque :  près de 1 000 ouvrages et plus de 200 travaux de recherches, actes de colloques et séminaires sur les arts de la rue et les arts du cirque. 

Le centre reçoit environ 70 revues et périodiques qui contribuent à alimenter les 100 dossiers thématiques regroupant la documentation liée à ces domaines d’activité.
 
La vidéothèque permet de visionner 4 500 vidéos ayant pour thème principal les arts de la rue ou les arts du cirque. Elle conserve la mémoire de la création en rue et cirque des années 70 à nos jours. La majorité des vidéos sont des captations de spectacles et d’événements, filmées des années 90 à 2000. Le fonds a été constitué grâce aux archives des artistes et compagnies, et à celles des partenaires du projet rueetcirque.fr (Festival d’Aurillac / Marc Guiochet, Festival MiramirO à Gand, Lieux Publics, l’Atelier 231…).
Le fonds est aussi constitué de documentaires et de fictions dont le thème principal est le cirque ou les arts de la rue.
 
La photothèque réunit environ 7 000 photos illustrant les arts de la rue et du cirque (spectacles, formation, résidence, itinérance...).
Le fonds est constitué de photos publiées dans les éditions de HorsLesMurs : Rue de la Folie (1998-2000), Arts de la piste (2001-2006), Stradda, (à partir de 2006). Ce sont des photos de spectacles, d’artistes et de compagnies, de lieux de fabrique, de formations artistiques.

ARTCENA est un lieu de ralliement, ouvert et vivant, qui conforte l’assise des trois secteurs (arts du cirque, de la rue et du théâtre). Il accompagne au plus près les professionnels tout en répondant aux besoins des publics et déploie ses missions selon trois axes :
– le partage des connaissances, par la création d’un portail numérique (lancement prévu fin 2017) et des éditions,
– l’accompagnement des professionnels, par l’apport de conseils et de formations,
– le soutien au rayonnement des trois secteurs, par différents dispositifs d’Aide et le développement international.
ARTCENA est né en 2016 de l’alliance du Centre national du Théâtre et d’HorsLesMurs.";
751125304;/06871/00214075;48.84195, 2.37683;libre-accès,prêt à domicile,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,élaboration de bibliographies,catalogue informatisé,accès internet,accès internet via ordinateur personnel,service « Questions-réponses à distance »,autre service;;140, rue de Bercy;Paris;75012;CCGPF;Comité central du groupe public ferroviaire – Fonds cheminot - Paris;CCGPF – SERVICE DU LIVRE ET DES BIBLIOTHEQUES;Bibliothèque associative;5;Consultation du fonds cheminot sur rendez-vous: lundi, mardi, jeudi et vendredi de 9h30 à 13h et de 14h à 18h.;;;;Tous publics;T;;https://www.fonds-ccgpfcheminots.com/;01 43 45 92 96;"Bibliothèque spécialisée dans le domaine ferroviaire et l’histoire sociale des cheminots.





Fidèles à une tradition cheminote et attachés à la promotion de la culture, les CE et le CCGPF agissent conjointement pour développer le goût de la lecture et du livre et pour assurer l’égalité d’accès et de droit à tous les salariés, ayants droit et retraités. Pour cela, le Service du livre et des bibliothèques (SLB) propose plusieurs outils et services à destination de son réseau et de ses lecteurs.

Pour les bibliothèques gérées par les CE, le secteur Conseil & Sélection propose, chaque mois, un choix de livres puisés dans l’actualité éditoriale. Le SLB alimente également les espaces lecture des villages vacances -adultes et jeunes- du CCGPF pour offrir aux vacanciers un choix de lectures le plus large possible.

Le SLB permet aussi aux cheminots d’accéder au plaisir de lire. Plus de 10 000 personnes (cheminots, ayants droit et retraités) sont inscrites à la Bibliothèque centrale de prêt par correspondance (BCPC).

Chaque année, près de 80 000 livres sont acquis par la centrale d’achat pour alimenter les bibliothèques des CE, la BCPC, les villages vacances familiales et les centres de vacances pour enfants.

Il existe également une bibliothèque spécialisée sur l’histoire du chemin de fer et de la corporation cheminote, le fonds cheminot, accessible à tout public.";"5 000 ouvrages (notices des documentaires, romans et bandes dessinées dans le catalogue informatisé)
Collection de revues ferroviaires (1842 à nos jours)
Ressources iconographiques (gravures, affiches,estampes,cartes postales, photographies)
DVD"
751015103;/06871/0029335;48.863393, 2.345099;consultation sur place,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,élaboration de bibliographies,catalogue en ligne,bibliothèque numérique,accès internet,PEB international : photocopies;http://bibliotheques-specialisees.paris.fr/;8, porte Saint Eustache;Paris;75001;Discothèque des Halles;Médiathèque musicale de Paris;PARIS;Bibliothèque médiathèque municipale ou intercommunale;1;Mardi au samedi 12h-19h;Pas de fermeture annuelle;;Accès handicapés;Tous publics;T;01.40.26.65.16;http://equipement.paris.fr/mediatheque-musicale-de-paris-mmp-2883;01.55.80.75.30;"La Médiathèque musicale de Paris constitue, organise et diffuse des collections musicales susceptibles d'intéresser l'amateur comme le professionnel, dans la diversité des supports.  Elle vise à  constituer, dans une optique patrimoniale, une véritable mémoire musicale, sonore, audio-visuelle et imprimée, aisément accessible au grand public.
La Médiathèque musicale outre un fonds de documents en prêt, possède un centre de documentation (9 500 livres, 180 périodiques vivants, 10 000 partitions) et des archives sonores (80 000 microsillons enregistrements, 30 000 CD, 3 000 partitions) . 
Ecoute sur place d'un fonds de 90 000 phonogrammes, 4 000 disques 78 tours, 500 vidéocassettes à caractère documentaire.
Un fonds sur la danse rassemble des ouvrages indispensables ou introuvables, des revues spécialisées et des dossiers thématiques. 

La discothèque propose 3000 méthodes musicales.";"Livres fonds d'étude (consultation sur place) : 5.000
Livres fonds de prêt : 6.000
Ouvrages de référence (Usuels): 1.500
Partitions et méthodes : 10.000 (prêt), 10.000 « feuillets »  (chanson française), 3.500 (Archives)
Périodiques (consultation sur place): 500 titres, dont 180 vivants"
751085406;/06871/00210161;48.8725728, 2.3121245;prêt à domicile,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,élaboration de bibliographies;;134 rue du Faubourg Saint-Honore;Paris;75008;CCI France;Chambre de commerce italienne pour la France. Centre de documentation économique;;Bibliothèque ou centre de documentation spécialisé;3;Du lundi au vendredi : 9h-12h;neant;Tous publics,;;Tous publics;T;;;01.42.25.41.88;;
