etablissement_id_paysage;uo_lib;nom_court;sigle;type_d_etablissement;typologie_d_universites_et_assimiles;secteur_d_etablissement;vague_contractuelle;localisation;url;coordonnees;uai;anciens_codes_uai;siret;siren;rna;identifiant_wikidata;element_wikidata;identifiant_idref;identifiant_eter;identifiant_ror;element_ror;identifiant_pic;identifiant_orgref;identifiant_isni;element_isni;element_fundref;date_creation;texte_de_ref_creation_lib;texte_de_ref_creation;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;reg_id_old;reg_nom_old;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;numero_telephone_uai;statut_juridique_court;statut_juridique_long;compte_facebook;compte_twitter;compte_instagram;compte_flickr;compte_pinterest;flux_rss;compte_linkedin;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_youtube;compte_vimeo;compte_dailymotion;compte_github;wikipedia;wikipedia_en;scanr;hal;mooc;article;uo_lib_officiel;uo_lib_en;url_en;url_cn;url_es;url_de;url_it;universites_fusionnees;etablissement_experimental;champ_recherche;inscrits;inscrits_2010;inscrits_2011;inscrits_2012;inscrits_2013;inscrits_2014;inscrits_2015;inscrits_2016;inscrits_2017;inscrits_2018;inscrits_2019;inscrits_2020;inscrits_2021;inscrits_2022
57OsX;Université de Reims Champagne-Ardenne;URCA;URCA;Université;Université pluridisciplinaire avec santé;public;Vague C;Grand Est>Reims>Marne>Reims;https://www.univ-reims.fr/;49.23278,4.00825;0511296G;;"19511296600799;19511296600435;19510000300019";"195112966;195100003";;Q2496149;https://www.wikidata.org/entity/Q2496149;026403838;FR0102;03hypw319;https://ror.org/03hypw319;999888708;13958907;0000 0004 1937 0618;http://www.isni.org/0000 0004 1937 0618;;1971-01-01;Décret n° 70-1174 du 17 décembre 1970 portant érection en établissements publics à caractère scientifique et culturel d'universités et centres universitaires;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000511402/;51454;Reims;UU51701;Reims;D051;Marne;A19;Reims;R44;Grand Est;R21;Champagne-Ardenne;;2 avenue Robert Schuman;;;51724;Reims CEDEX;France;;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/Univ.ReimsChampagneArdenne;https://twitter.com/universitereims;;;;;https://www.linkedin.com/school/universite-de-reims-champagne-ardenne/;;;;;https://www.youtube.com/channel/UCFFftBN3GZfmO934iRh2JzQ;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/195112966;https://hal.univ-reims.fr/;;à l';Université de Reims;University of Reims Champagne-Ardenne;https://www.univ-reims.eu/;;;;;;;"Université de Reims;Université de Reims Champagne-Ardenne;URCA;University of Reims Champagne-Ardenne";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=57OsX;21006;20798;21110;22454;23510;24890;23552;23364;23730.0;24431.0;25026.0;24780.0;23628.0
WadM1;Y SCHOOLS;Y SCHOOLS;;École;;privé;;Grand Est>Reims>Aube>Troyes;https://yschools.fr/;48.28417,4.07982;0101059X;;52917534100013;529175341;;Q3117947;https://www.wikidata.org/entity/Q3117947;035228938;;0013h7w30;https://ror.org/0013h7w30;;;;;;1992;;;10387;Troyes;UU10601;Troyes;D010;Aube;A19;Reims;R44;Grand Est;R21;Champagne-Ardenne;;217 avenue Pierre Brossolette;;;10000;Troyes;France;;Association loi de 1901;Association loi de 1901;https://www.facebook.com/YSCHOOLS/;;https://www.instagram.com/yschools_edu/;;;;https://www.linkedin.com/company/y-schools/;;;;;https://www.youtube.com/user/groupeesctroyes;;;;;;;;;;Y SCHOOLS;;;;;;;;;"Groupe École Supérieure de Commerce de Troyes;Y SCHOOLS;Groupe ESC Troyes";;;;;;;;;;;;;;
pVJpw;Université de Mayotte;;;Université;Université pluridisciplinaire hors santé;public;Vague E;Mayotte>Dembeni;https://www.univ-mayotte.fr/fr/index.html;-12.84547,45.18741;9760358K;;13001631400010;130016314;;Q2946102;https://www.wikidata.org/entity/Q2946102;262921715;FR0287;02t0k0832;https://ror.org/02t0k0832;912525949;;;;;2011-10-15;;;97607;Dembeni;UU9F306;Dembeni;D976;Mayotte;A43;Mayotte;R06;Mayotte;R06;Mayotte;;Route nationale 3;;BP 53;97660;Dembeni;France;+33269610762;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/CufrDembeni;https://twitter.com/CufrMayotte;https://www.instagram.com/cufrmayotte/;;;;https://www.linkedin.com/company/centre-universitaire-de-formation-et-de-recherche-de-mayotte/;;;;;https://www.youtube.com/channel/UCtH3TLL0W2C6n1ya37nqH4A;;;;;;;;;;Université de Mayotte;University of Mayotte;;;;;;;;"Université de Mayotte;Centre universitaire de formation et de recherche de Mayotte;Centre universitaire de Mayotte;CU de Mayotte;University of Mayotte;University Center of Mayotte;CUFR Mayotte";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=pVJpw;;;607;719;801;1048;1048;1027;1036.0;1123.0;1256.0;1335.0;1359.0
y52D7;École des hautes études en sciences sociales;;EHESS;Grand établissement;;public;Vague D;Île-de-France>Paris>Paris 6e;https://www.ehess.fr/fr;48.850176,2.326849;0753742K;;"19753742600037;19753742600011";197537426;;Q273518;https://www.wikidata.org/entity/Q273518;026374889;FR0208;02d9dg697;https://ror.org/02d9dg697;999510117;1970501;0000 0001 2325 5880;http://www.isni.org/0000 0001 2325 5880;;1975-01-23;;;75106;Paris 6e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;54 boulevard Raspail;;;75006;PARIS;France;+33149542525;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/ehess.fr?_rdr;https://twitter.com/EHESS_fr;https://www.instagram.com/ehess_photos/;;;http://actualites.ehess.fr/atom.php?cat=257;https://www.linkedin.com/school/ehess/;;;;;;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/197537426;https://hal.archives-ouvertes.fr/EHESS;;à l';École des hautes études en sciences sociales;School for advanced studies in the social sciences;https://www.ehess.fr/en;;;;;;;"École des hautes études en sciences sociales;School for advanced studies in the social sciences;EHESS";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=y52D7;2689;2733;2576;2712;2773;2845;3026;3153;3085.0;2970.0;2917.0;2753.0;2613.0
MuSey;École supérieure d'électronique de l'Ouest;ESEO;ESEO;École;;privé;Vague B;Pays de la Loire>Nantes>Maine-et-Loire>Angers;https://www.eseo.fr/;47.493396,-0.550804;0490075R;;"78611671500016;78611671500065";786116715;W491003869;Q3578422;https://www.wikidata.org/entity/Q3578422;114146756;FR0097;04nx9ps90;https://ror.org/04nx9ps90;942825354;;0000 0000 9399 194X;http://www.isni.org/0000 0000 9399 194X;;1956-01-01;;;49007;Angers;UU49701;Angers;D049;Maine-et-Loire;A17;Nantes;R52;Pays de la Loire;R52;Pays de la Loire;;10 boulevard Jeanneteau;;CS 90717;49107;Angers CEDEX 2;France;+33241866767;Association loi de 1901;Association loi de 1901;https://www.facebook.com/GroupeESEO/;https://twitter.com/Groupe_ESEO;;;;;;;;;;https://www.youtube.com/user/ESEOsiteOfficiel;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/786116715;;;à l';;ESEO;https://www.eseo.fr/en/;;;;;;;"École supérieure d'électronique de l'Ouest;ESEO";;;;;;;;;;;;;;
J36yt;Institut catholique de Paris;;ICP;École;;privé;;Île-de-France>Paris>Paris 6e;https://www.icp.fr/;48.8483,2.32936;0753541S;;78428073700015;784280737;W751000623;Q1470431;https://www.wikidata.org/entity/Q1470431;026453932;FR0204;043a7rc44;https://ror.org/043a7rc44;;1947845;0000 0001 2296 6429;http://www.isni.org/0000 0001 2296 6429;;1875;;;75106;Paris 6e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;21 rue d’Assas;;;75270;Paris CEDEX 06;France;+33144395200;Association déclarée, reconnue d'utilité publique;Association déclarée, reconnue d'utilité publique;https://www.facebook.com/InstitutCatholiquedeParis;https://twitter.com/UnivCathoParis;https://www.instagram.com/institutcatholiquedeparis/;;;;https://www.linkedin.com/school/institut-catholique-de-paris/;;;;;https://www.youtube.com/user/UnivCathoParis;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/784280737;https://hal-icp.archives-ouvertes.fr/;;à l';;Catholic University of Paris;https://en.icp.fr/;;;;;;;"Institut catholique de Paris;Catholic University of Paris;ICP";;;;;;;;;;;;;;
64Dyl;Institut catholique de Toulouse;;ICT;École;;privé;;Occitanie>Toulouse>Haute-Garonne>Toulouse;https://www.ict-toulouse.fr/;43.59529,1.44233;0310155A;;77694410000010;776944100;W313006581;Q1479987;https://www.wikidata.org/entity/Q1479987;029613043;FR0035;00s4cve39;https://ror.org/00s4cve39;;21344153;;;;1876;;;31555;Toulouse;UU00758;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Occitanie;R73;Midi-Pyrénées;;31 rue de la Fonderie;;BP 7012;31068;Toulouse CEDEX 7;France;+33561368100;Association loi de 1901;Association loi de 1901;https://www.facebook.com/la.catho.ict;https://twitter.com/ICT_Toulouse;https://www.instagram.com/institut_catholique_toulouse_/;;;http://www.ict-toulouse.fr/plugins/web/www/fr/filter/org.ametys.web.new.RSS/rss.xml;https://www.linkedin.com/school/institut-catholique-de-toulouse/;;;;;https://www.youtube.com/channel/UCpYZxWEne6GhUsuiOSTeOYg;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/776944100;;;à l';;Catholic University of Toulouse;;;;;;;;"Institut catholique de Toulouse;Catholic University of Toulouse;ICT";;;;;;;;;;;;;;
EM3xY;Institut régional du travail social de Champagne-Ardennes;IRTS Champagne-Ardenne;;École;;privé;;Grand Est>Reims>Marne>Reims;https://irtsca.fr/;49.231082,4.002474;0511556P;;38152268900011;381522689;W513001614;;;158736869;;;;;;;;;;;;51454;Reims;UU51701;Reims;D051;Marne;A19;Reims;R44;Grand Est;R21;Champagne-Ardenne;;8 rue Joliot Curie;;;51100;REIMS;France;;Association loi de 1901;Association loi de 1901;;;;;;;;;;;;;;;;;;;;;à l';;;;;;;;;;"Institut régional du travail social de Champagne-Ardennes;IRTS Champagne-Ardenne";;;;;;;;;;;;;;
k5Ryn;Institut textile et chimique;ITECH;;École;;privé;Vague A;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon>Écully;https://www.itech.fr/;45.7860356236494,4.767680168151856;0693364G;;32014055100021;320140551;;Q3152645;https://www.wikidata.org/entity/Q3152645;136233902;FR0165;05mv80p58;https://ror.org/05mv80p58;;;;;;1988;;;69081;Écully;UU00760;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne-Rhône-Alpes;R82;Rhône-Alpes;;87 Chemin des Mouilles;;;69134;Écully CEDEX;France;+33472180480;Association loi de 1901;Association loi de 1901;https://fr-fr.facebook.com/ItechLyon/;;;;;;https://www.linkedin.com/company/itech-lyon;;;;;https://www.youtube.com/channel/UC9mwXyctAzEFri3Zk8tAV8A;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/320140551;;;à l';;;https://www.itech.fr/en/;;;;;;;"Institut textile et chimique;ITECH";;;;;;;;;;;;;;
VaJ52;Muséum national d'histoire naturelle;;MNHN;Grand établissement;;public;Vague D;Île-de-France>Paris>Paris 5e;https://www.mnhn.fr/fr;48.84202,2.35616;0753494R;;18004417400019;180044174;;Q838691;https://www.wikidata.org/entity/Q838691;026394944;FR0200;03wkt5x30;https://ror.org/03wkt5x30;999662310;525856;0000 0001 2174 9334;http://www.isni.org/0000 0001 2174 9334;501100007522;1793;;;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;57 rue Cuvier;;;75005;PARIS;France;+33140793000;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/museumnationaldhistoirenaturelle;https://twitter.com/Le_Museum;;;;;;;;;;;https://vimeo.com/channels/mnhn;https://www.dailymotion.com/MNHN;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/180044174;;;au;Muséum national d'histoire naturelle;National museum of natural history;https://www.mnhn.fr/en;;;;;;;"Muséum national d'histoire naturelle;National museum of natural history;MNHN";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=VaJ52;371;385;324;329;361;376;394;424;427.0;420.0;385.0;422.0;420.0
